name,start,datetime,flacfile,tag_fly_housefly,tag_bee_wasp,tag_water,tag_wind,tag_motor_vehicle,tag_aircraft,tag_human_voice,Group_buzz,Group_geophony,Group_anthropophony,dB
SMA02975-D08_20250531_141000.wav,30.0,20250531_141030,20250531_141030.flac,0.0006845715,0.000931561,0.39212728,0.01109602,0.009535244,0.0032509875,0.010373599,0.000931561,0.39212728,0.010373599,-49.82206726074219
SMA02975-D08_20250531_141500.wav,0.0,20250531_141500,20250531_141500.flac,0.0007740935,0.0007740935,0.47265202,0.010984239,0.014165971,0.009142486,0.016584722,0.0007740935,0.47265202,0.016584722,-43.92532730102539
SMA02975-D08_20250531_141500.wav,30.0,20250531_141530,20250531_141530.flac,0.0003553969,0.0003553969,0.4041055,0.0064866897,0.0045141364,0.003558591,0.0060185734,0.0003553969,0.4041055,0.0060185734,-34.10544204711914
SMA02975-D08_20250531_142000.wav,0.0,20250531_142000,20250531_142000.flac,0.0005997876,0.0007132082,0.50453806,0.011903877,0.008440861,0.0017080884,0.007069215,0.0007132082,0.50453806,0.008440861,-38.79486846923828
SMA02975-D08_20250531_142000.wav,30.0,20250531_142030,20250531_142030.flac,0.12227202,0.07659389,0.25633046,0.01974979,0.0066463305,0.0059927474,0.03509683,0.12227202,0.25633046,0.03509683,-46.45693206787109
SMA02975-D08_20250531_142500.wav,0.0,20250531_142500,20250531_142500.flac,0.0006648362,0.0006648362,0.3311115,0.009873448,0.011533916,0.0042113643,0.0071409466,0.0006648362,0.3311115,0.011533916,-46.42692565917969
SMA02975-D08_20250531_142500.wav,30.0,20250531_142530,20250531_142530.flac,0.13137347,0.087363765,0.18316762,0.032404814,0.005392099,0.0040660766,0.023625268,0.13137347,0.18316762,0.023625268,-40.39055633544922
SMA02975-D08_20250531_143000.wav,0.0,20250531_143000,20250531_143000.flac,0.7763704,0.54736835,0.023759138,0.005140323,0.0035993543,0.0010900976,0.0057799397,0.7763704,0.023759138,0.0057799397,-42.16065979003906
SMA02975-D08_20250531_143000.wav,30.0,20250531_143030,20250531_143030.flac,0.011694288,0.0140019795,0.017749505,0.030456737,0.01624832,0.0027475725,0.032422956,0.0140019795,0.030456737,0.032422956,-53.75562286376953
SMA02975-D08_20250531_143500.wav,0.0,20250531_143500,20250531_143500.flac,0.843164,0.66972214,0.0011864055,0.000900143,0.0046215137,0.00062245945,0.009400291,0.843164,0.0011864055,0.009400291,-49.280982971191406
SMA02975-D08_20250531_143500.wav,30.0,20250531_143530,20250531_143530.flac,0.49974948,0.24501772,0.0058737975,0.005454306,0.0035992006,0.0010953711,0.06846772,0.49974948,0.0058737975,0.06846772,-49.74144744873047
SMA02975-D08_20250531_144000.wav,0.0,20250531_144000,20250531_144000.flac,0.59394145,0.5644342,0.007632593,0.016379561,0.005868826,0.0021654828,0.050567497,0.59394145,0.016379561,0.050567497,-53.744083404541016
SMA02975-D08_20250531_144000.wav,30.0,20250531_144030,20250531_144030.flac,0.0022177568,0.004511146,0.014709658,0.072934605,0.010821001,0.0037413465,0.011577467,0.004511146,0.072934605,0.011577467,-49.30665969848633
SMA02975-D08_20250531_144500.wav,0.0,20250531_144500,20250531_144500.flac,0.0010665405,0.0015354648,0.4282559,0.031307954,0.008014984,0.0052836114,0.0066826004,0.0015354648,0.4282559,0.008014984,-35.46990203857422
SMA02975-D08_20250531_144500.wav,30.0,20250531_144530,20250531_144530.flac,0.004249768,0.008093344,0.05360113,0.060109466,0.014424419,0.0043785186,0.012626543,0.008093344,0.060109466,0.014424419,-47.69538879394531
SMA02975-D08_20250531_145000.wav,0.0,20250531_145000,20250531_145000.flac,0.00095429516,0.0011538931,0.3053146,0.01902766,0.008083733,0.0056437254,0.008545987,0.0011538931,0.3053146,0.008545987,-43.9116439819336
SMA02975-D08_20250531_145000.wav,30.0,20250531_145030,20250531_145030.flac,0.0015821883,0.0023049782,0.11454922,0.029835984,0.020405147,0.0051618316,0.016103955,0.0023049782,0.11454922,0.020405147,-46.355377197265625
SMA02975-D08_20250531_145500.wav,0.0,20250531_145500,20250531_145500.flac,0.038047273,0.03264068,0.018655626,0.019947834,0.010491051,0.0013695948,0.032700844,0.038047273,0.019947834,0.032700844,-57.26611328125
SMA02975-D08_20250531_145500.wav,30.0,20250531_145530,20250531_145530.flac,0.0021384065,0.0031825018,0.10393038,0.11634303,0.011322099,0.005183232,0.013275043,0.0031825018,0.11634303,0.013275043,-46.34248733520508
SMA02975-D08_20250531_150000.wav,0.0,20250531_150000,20250531_150000.flac,0.012685932,0.017520044,0.0059468113,0.040354837,0.0052062157,0.003421198,0.018236903,0.017520044,0.040354837,0.018236903,-53.14376068115234
SMA02975-D08_20250531_150000.wav,30.0,20250531_150030,20250531_150030.flac,0.14857997,0.09332287,0.001519619,0.02464555,0.0024735595,0.001169893,0.015246997,0.14857997,0.02464555,0.015246997,-55.1148796081543
SMA02975-D08_20250531_150500.wav,0.0,20250531_150500,20250531_150500.flac,0.0021727413,0.0031649016,0.108355366,0.038491033,0.024602134,0.004517954,0.016087923,0.0031649016,0.108355366,0.024602134,-50.62928009033203
SMA02975-D08_20250531_150500.wav,30.0,20250531_150530,20250531_150530.flac,0.0051190206,0.0058648265,0.028408343,0.031294405,0.0085516535,0.0010018178,0.031692933,0.0058648265,0.031294405,0.031692933,-52.22405242919922
SMA02975-D08_20250531_151000.wav,0.0,20250531_151000,20250531_151000.flac,0.005564566,0.009222323,0.0042088935,0.025008958,0.011075905,0.0036014004,0.018741366,0.009222323,0.025008958,0.018741366,-51.29285430908203
SMA02975-D08_20250531_151000.wav,30.0,20250531_151030,20250531_151030.flac,0.0017631709,0.0036595718,0.040692683,0.038210128,0.011727706,0.014615972,0.01202958,0.0036595718,0.040692683,0.014615972,-49.09521484375
SMA02975-D08_20250531_151500.wav,0.0,20250531_151500,20250531_151500.flac,0.006130949,0.011514465,0.002828972,0.04733726,0.0029731747,0.0019849243,0.027765192,0.011514465,0.04733726,0.027765192,-53.76287460327149
SMA02975-D08_20250531_151500.wav,30.0,20250531_151530,20250531_151530.flac,0.0067965947,0.015029438,0.27779108,0.060476374,0.0066025355,0.005477209,0.012282174,0.015029438,0.27779108,0.012282174,-38.77655792236328
SMA02975-D08_20250531_152000.wav,0.0,20250531_152000,20250531_152000.flac,0.0017218563,0.003245632,0.28108215,0.024938464,0.008745066,0.0044215596,0.012866315,0.003245632,0.28108215,0.012866315,-47.408111572265625
SMA02975-D08_20250531_152000.wav,30.0,20250531_152030,20250531_152030.flac,0.0023398264,0.003199083,0.42234978,0.018290889,0.008494708,0.0046147583,0.0085877795,0.003199083,0.42234978,0.0085877795,-41.22918701171875
SMA02975-D08_20250531_152500.wav,0.0,20250531_152500,20250531_152500.flac,0.0021373935,0.003006303,0.13869038,0.056967787,0.00987792,0.004558636,0.011535504,0.003006303,0.13869038,0.011535504,-44.51031494140625
SMA02975-D08_20250531_152500.wav,30.0,20250531_152530,20250531_152530.flac,0.073643096,0.11351179,0.16490667,0.0746251,0.008692274,0.006185036,0.088332035,0.11351179,0.16490667,0.088332035,-43.70528411865234
SMA02975-D08_20250531_153000.wav,0.0,20250531_153000,20250531_153000.flac,0.0064315572,0.0077724527,0.2836679,0.036219772,0.004531498,0.0038210135,0.008557639,0.0077724527,0.2836679,0.008557639,-45.01871109008789
SMA02975-D08_20250531_153000.wav,30.0,20250531_153030,20250531_153030.flac,0.0037982897,0.0067446795,0.13967212,0.04667432,0.011979134,0.0090141175,0.012315167,0.0067446795,0.13967212,0.012315167,-49.90013885498047
SMA02975-D08_20250531_153500.wav,0.0,20250531_153500,20250531_153500.flac,0.0013883698,0.0021534415,0.2997743,0.025445305,0.008967435,0.004885123,0.007871566,0.0021534415,0.2997743,0.008967435,-44.88424301147461
SMA02975-D08_20250531_153500.wav,30.0,20250531_153530,20250531_153530.flac,0.0018769919,0.0020611922,0.005410358,0.013525773,0.010149527,0.0019806148,0.022385309,0.0020611922,0.013525773,0.022385309,-58.37572479248047
SMA02975-D08_20250531_154000.wav,0.0,20250531_154000,20250531_154000.flac,0.00083657884,0.00083657884,0.3691436,0.021929657,0.027473394,0.0131502,0.011019328,0.00083657884,0.3691436,0.027473394,-43.8870964050293
SMA02975-D08_20250531_154000.wav,30.0,20250531_154030,20250531_154030.flac,0.0026565443,0.005276932,0.033848424,0.043483455,0.027612714,0.012259692,0.017513676,0.005276932,0.043483455,0.027612714,-47.84786224365234
SMA02975-D08_20250531_154500.wav,0.0,20250531_154500,20250531_154500.flac,0.0014905403,0.0017964365,0.40986085,0.01898027,0.011764718,0.007013761,0.09434979,0.0017964365,0.40986085,0.09434979,-43.72101593017578
SMA02975-D08_20250531_154500.wav,30.0,20250531_154530,20250531_154530.flac,0.0004245583,0.0004439684,0.49134752,0.008976325,0.006694204,0.0035694386,0.0093113985,0.0004439684,0.49134752,0.0093113985,-44.617950439453125
SMA02975-D08_20250531_155000.wav,0.0,20250531_155000,20250531_155000.flac,0.0021167507,0.0037240079,0.34969902,0.046136837,0.006219379,0.0019782626,0.008194085,0.0037240079,0.34969902,0.008194085,-36.75762939453125
SMA02975-D08_20250531_155000.wav,30.0,20250531_155030,20250531_155030.flac,0.0015050927,0.0024585626,0.4001919,0.052238755,0.007904344,0.005267349,0.012293118,0.0024585626,0.4001919,0.012293118,-40.64086151123047
SMA02975-D08_20250531_155500.wav,0.0,20250531_155500,20250531_155500.flac,0.0046978886,0.007006422,0.17891683,0.05474739,0.0056920815,0.0030062117,0.014681771,0.007006422,0.17891683,0.014681771,-48.89327239990234
SMA02975-D08_20250531_155500.wav,30.0,20250531_155530,20250531_155530.flac,0.08346583,0.09842511,0.26213032,0.019804362,0.006125588,0.0028354942,0.049984176,0.09842511,0.26213032,0.049984176,-45.54314422607422
SMA02975-D08_20250531_160000.wav,0.0,20250531_160000,20250531_160000.flac,0.0017085806,0.0022860582,0.4311208,0.016744955,0.004921469,0.0030436665,0.007988614,0.0022860582,0.4311208,0.007988614,-42.92427062988281
SMA02975-D08_20250531_160000.wav,30.0,20250531_160030,20250531_160030.flac,0.0007586166,0.0010119168,0.39171168,0.01392451,0.005118816,0.0016122122,0.011061206,0.0010119168,0.39171168,0.011061206,-41.032470703125
SMA02975-D08_20250531_160500.wav,0.0,20250531_160500,20250531_160500.flac,0.6887179,0.4730175,0.07804527,0.0058253617,0.0048059677,0.001943384,0.009574065,0.6887179,0.07804527,0.009574065,-47.49532318115234
