datetime,name,start,energy_10_20KHz,dB,ndsi_N,aci_N,BI_N,EAS_N,ECV_N,EPS_N,ndsi_W,aci_W,BI_W,EAS_W,ECV_W,EPS_W,ACT,POWERB_126,POWERB_251,POWERB_501,POWERB_1k,POWERB_2k,POWERB_4k,POWERB_8k,POWERB_16k
20220410_204502,20220410_204502T.WAV,0.0,11.71837432864925,-60.128543321998364,0.999929754984415,1970.330272298152,20.92812285747902,0.14559833518833198,0.14840698365910976,0.29645519166601697,0.9999983027136926,3569.558023128377,31.72006974460491,0.12964155788289122,0.13322624293230367,0.24271116880992916,0.0,-19.829609781072428,-29.6470994427176,-32.434646924734245,-35.920454940644596,-30.32622101600582,-15.57320927330247,18.743885905029295,33.152081173658246
20220410_204512,20220410_204502T.WAV,10.0,14.892636423817972,-55.8020725302082,0.9999441072060452,1969.4360009253212,20.33291398270758,0.1558107944421837,0.1651990250841352,0.30628931010925387,0.9999981911139953,3573.1817929951208,29.61618223560873,0.144614511442561,0.16025215137114035,0.2600620353778459,4.1666666666666665e-05,-18.833454818845542,-21.45818174742908,-21.906007985468925,-30.11671158142437,-26.509619860931597,-12.134837625882192,23.310946635536954,37.526440801018175
20220410_204522,20220410_204502T.WAV,20.0,9.8616954801891,-61.65581401059734,0.9999682488602886,1973.2835146578104,20.762478946719394,0.15701510779248407,0.1749652342504151,0.3337135959140828,0.9999986247780235,3566.5958201570315,43.85798688653056,0.13871505963616448,0.15013703384184152,0.26698537857919324,0.0,-25.492667891488033,-32.280480132075965,-32.91733644700704,-33.927210223053045,-36.84261035544195,-23.54718502172615,16.897323681501202,31.69193708131976
20220410_204532,20220410_204502T.WAV,30.0,29.86322100107049,-60.53593122796616,0.9999595995675822,1995.5772734961897,4.657910546388068,0.15196620558580987,0.13471138820948392,0.32597356909772346,0.9999984836903097,3627.1927813393277,10.661307244847226,0.13648286997635495,0.13518088272831474,0.2679756815962244,0.00016666666666666666,-23.32545972950893,-35.16377486448813,-35.34261183447586,-38.46151702901907,-37.07566142306899,-20.196094894173413,18.10052530197642,32.78344111315609
20220410_204542,20220410_204502T.WAV,40.0,42.76506154349253,-47.8306767078945,0.9999477786591963,2081.669647456413,4.2464209712492895,0.14988819773614614,0.15614139377596625,0.27783773972344916,0.9999982760002908,3794.8063360725237,8.641629455560095,0.14829962219367543,0.1616408362031455,0.2833855275736228,0.031010416666666665,-9.41396548411422,-14.204598841455978,-16.890799228637157,-18.902173981637354,-21.580913086079843,-6.065429267132904,30.489544542728318,45.54033076095611
20220410_204552,20220410_204502T.WAV,50.0,24.710772151292037,-43.03133205837824,0.9999477051579188,2152.7408247272897,8.81056958065439,0.1477381443050404,0.15594013020690312,0.2973207264218055,0.9999983458096301,3918.9692350247924,15.956307380220746,0.14263228876019407,0.14049977491230636,0.29921466810630326,0.13171875,-1.7622425456230095,-14.84196466609788,-17.388677891246047,-13.423226466743072,-17.420207132762364,-1.0077728859384174,35.49964713634276,50.3217458116216
20220410_204602,20220410_204502T.WAV,60.0,68.57424508643486,-49.39044775600795,0.9999368116597461,2129.817232941966,2.4689233892790607,0.14479999411629574,0.14754383448651542,0.2872665684284166,0.999998841411418,3861.753753752807,7.658970505051123,0.14168297850465528,0.15244459163542312,0.2938092782371333,0.017833333333333333,2.05812398909089,-1.4210041183972355,-4.2105946744008165,-4.65472620529574,-9.597888896141908,-5.061841522278716,28.99224994394386,43.93874993200019
20220410_204612,20220410_204502T.WAV,70.0,38.32709310330319,-55.3601080287714,0.9999528718113847,2133.5996656779266,11.442878863966195,0.14608903232281256,0.1466877074495726,0.2732465192382183,0.9999986827124873,3858.699841646942,20.085203639076227,0.1386605968921526,0.14658673892770646,0.28471206771509217,0.0010833333333333333,-25.568467760910917,-38.84126420227157,-40.43401204464061,-33.315661821388495,-32.04905204548341,-13.246371347948195,22.946421751662008,37.96074599809694
20220410_204622,20220410_204502T.WAV,80.0,41.83313478955686,-53.20776402866456,0.9999500585470512,2178.219937651936,8.375190822344726,0.14395201228239762,0.14899482054751279,0.26735000996648395,0.9999985164941437,3956.303805459867,12.756483502987992,0.13864888651815088,0.144501151348574,0.28301604051844975,0.00325,-26.95905313220092,-32.777793118605786,-35.97255625687452,-37.8544163382757,-34.68102163323378,-11.09075784458928,24.900780934284825,40.12756312003055
20220410_204632,20220410_204502T.WAV,90.0,35.038722545336334,-51.53866262386028,0.9999507440860091,2120.209140447517,5.011322753825568,0.14669055201974324,0.1514987459457836,0.2786176160504631,0.9999984438633801,3866.3629069278136,10.99994034451633,0.14092983584933327,0.13710592436456348,0.2918803083896908,0.0041875,-5.638705965626224,-8.949218229074138,-11.376124851736106,-14.509043341003103,-17.878084267101702,-9.408170207833,26.76869545849119,41.80141625131574
