window_size,f1_score,optimal_f1,precision,recall,roc_auc,optimal_threshold,accuracy,pr_auc
5,0.56815578465063,0.5680136596471258,0.7402985074626866,0.46096654275092935,0.7784311270182784,0.15151515151515152,0.9058441558441559,0.5345166006975692
10,0.6595419847328244,0.6595419847328244,0.7289088863892014,0.6022304832713755,0.8512451729611594,0.20202020202020204,0.9162388881933141,0.6381238204523478
15,0.6695821185617103,0.6699171136031205,0.7016293279022403,0.6403345724907064,0.8635969191940653,0.27272727272727276,0.914861650181545,0.6379948563153962
20,0.6758241758241759,0.6763636363636364,0.6660649819494585,0.6858736059479554,0.8738150962162908,0.24242424242424243,0.911144578313253,0.6641696109620496
25,0.6796577946768061,0.6796577946768061,0.6955252918287937,0.6644981412639405,0.8807089943177249,0.42424242424242425,0.9153585332161246,0.6606894564768886
30,0.6830357142857143,0.6830357142857143,0.6572164948453608,0.7109665427509294,0.886971409259885,0.3535353535353536,0.9107030562193434,0.671037334171916
35,0.676056338028169,0.6775043936731108,0.6421404682274248,0.7137546468401487,0.890843927263841,0.393939393939394,0.9074446680080482,0.6580878675056088
40,0.6602023608768971,0.6595925297113752,0.6041666666666666,0.7276951672862454,0.8872619596776383,0.3535353535353536,0.8983093615947515,0.6484956619509996
45,0.649954421148587,0.6495176848874598,0.6377459749552773,0.662639405204461,0.8881498590008567,0.5353535353535354,0.9031159328875994,0.6212147612775569
